/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
80
/*The Depot*/
0.6247680423466616 0.592001963173025 depot
/*The Locations (x_coor y_coor name)*/
34.0 55.0 loc1
49.0 21.0 loc2
59.0 60.0 loc3
16.0 58.0 loc4
21.0 10.0 loc5
94.0 59.0 loc6
73.0 77.0 loc7
21.0 14.0 loc8
18.0 88.0 loc9
27.0 12.0 loc10
54.0 46.0 loc11
18.0 85.0 loc12
20.0 29.0 loc13
15.0 71.0 loc14
61.0 41.0 loc15
83.0 24.0 loc16
90.0 70.0 loc17
13.0 77.0 loc18
94.0 3.0 loc19
58.0 37.0 loc20
26.0 44.0 loc21
99.0 21.0 loc22
10.0 43.0 loc23
35.0 84.0 loc24
58.0 54.0 loc25
90.0 62.0 loc26
35.0 91.0 loc27
73.0 22.0 loc28
25.0 65.0 loc29
9.0 22.0 loc30
26.0 31.0 loc31
28.0 18.0 loc32
16.0 26.0 loc33
68.0 77.0 loc34
36.0 73.0 loc35
84.0 51.0 loc36
80.0 71.0 loc37
14.0 11.0 loc38
4.0 66.0 loc39
17.0 16.0 loc40
36.0 3.0 loc41
42.0 14.0 loc42
94.0 63.0 loc43
41.0 5.0 loc44
37.0 37.0 loc45
23.0 73.0 loc46
76.0 46.0 loc47
17.0 0.0 loc48
14.0 18.0 loc49
16.0 0.0 loc50
72.0 10.0 loc51
69.0 50.0 loc52
97.0 58.0 loc53
48.0 48.0 loc54
69.0 1.0 loc55
100.0 77.0 loc56
30.0 29.0 loc57
87.0 45.0 loc58
41.0 44.0 loc59
38.0 12.0 loc60
19.0 69.0 loc61
31.0 13.0 loc62
32.0 55.0 loc63
100.0 26.0 loc64
79.0 25.0 loc65
54.0 44.0 loc66
47.0 69.0 loc67
63.0 12.0 loc68
27.0 85.0 loc69
78.0 79.0 loc70
4.0 1.0 loc71
88.0 40.0 loc72
59.0 60.0 loc73
84.0 85.0 loc74
27.0 60.0 loc75
74.0 21.0 loc76
39.0 55.0 loc77
88.0 86.0 loc78
95.0 87.0 loc79
