/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
70
/*The Depot*/
0.12100158772465341 0.3235843422964646 depot
/*The Locations (x_coor y_coor name)*/
9.0 83.0 loc1
90.0 46.0 loc2
80.0 77.0 loc3
80.0 44.0 loc4
91.0 46.0 loc5
83.0 29.0 loc6
92.0 44.0 loc7
53.0 80.0 loc8
81.0 2.0 loc9
50.0 66.0 loc10
99.0 88.0 loc11
46.0 83.0 loc12
0.0 30.0 loc13
55.0 68.0 loc14
40.0 73.0 loc15
29.0 68.0 loc16
49.0 2.0 loc17
59.0 79.0 loc18
15.0 70.0 loc19
25.0 62.0 loc20
1.0 94.0 loc21
15.0 100.0 loc22
82.0 78.0 loc23
77.0 59.0 loc24
62.0 91.0 loc25
5.0 1.0 loc26
0.0 77.0 loc27
11.0 58.0 loc28
20.0 61.0 loc29
7.0 56.0 loc30
28.0 79.0 loc31
66.0 25.0 loc32
10.0 2.0 loc33
2.0 42.0 loc34
4.0 72.0 loc35
88.0 87.0 loc36
72.0 1.0 loc37
68.0 52.0 loc38
64.0 46.0 loc39
11.0 83.0 loc40
78.0 81.0 loc41
14.0 5.0 loc42
17.0 85.0 loc43
15.0 92.0 loc44
21.0 3.0 loc45
2.0 27.0 loc46
33.0 95.0 loc47
20.0 48.0 loc48
45.0 69.0 loc49
58.0 57.0 loc50
96.0 75.0 loc51
96.0 6.0 loc52
34.0 99.0 loc53
96.0 96.0 loc54
30.0 58.0 loc55
12.0 49.0 loc56
4.0 0.0 loc57
98.0 50.0 loc58
49.0 60.0 loc59
53.0 17.0 loc60
81.0 82.0 loc61
49.0 11.0 loc62
42.0 14.0 loc63
37.0 15.0 loc64
72.0 21.0 loc65
10.0 34.0 loc66
58.0 96.0 loc67
10.0 92.0 loc68
55.0 19.0 loc69
