/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
90
/*The Depot*/
0.6526722787666048 0.30739232734863675 depot
/*The Locations (x_coor y_coor name)*/
53.0 100.0 loc1
52.0 43.0 loc2
97.0 82.0 loc3
12.0 13.0 loc4
95.0 25.0 loc5
2.0 47.0 loc6
9.0 0.0 loc7
31.0 93.0 loc8
61.0 16.0 loc9
87.0 17.0 loc10
5.0 60.0 loc11
86.0 37.0 loc12
71.0 95.0 loc13
70.0 4.0 loc14
43.0 40.0 loc15
53.0 2.0 loc16
20.0 73.0 loc17
19.0 16.0 loc18
44.0 30.0 loc19
72.0 16.0 loc20
46.0 33.0 loc21
22.0 36.0 loc22
51.0 41.0 loc23
83.0 25.0 loc24
62.0 79.0 loc25
71.0 12.0 loc26
91.0 50.0 loc27
32.0 16.0 loc28
20.0 94.0 loc29
8.0 11.0 loc30
32.0 22.0 loc31
90.0 43.0 loc32
27.0 43.0 loc33
68.0 57.0 loc34
55.0 50.0 loc35
74.0 81.0 loc36
93.0 45.0 loc37
80.0 95.0 loc38
35.0 22.0 loc39
49.0 70.0 loc40
41.0 39.0 loc41
32.0 86.0 loc42
64.0 24.0 loc43
3.0 2.0 loc44
77.0 81.0 loc45
88.0 43.0 loc46
62.0 39.0 loc47
55.0 42.0 loc48
80.0 73.0 loc49
56.0 68.0 loc50
44.0 86.0 loc51
26.0 57.0 loc52
50.0 54.0 loc53
92.0 77.0 loc54
60.0 68.0 loc55
18.0 16.0 loc56
92.0 71.0 loc57
73.0 69.0 loc58
98.0 90.0 loc59
7.0 63.0 loc60
40.0 53.0 loc61
26.0 61.0 loc62
13.0 38.0 loc63
2.0 28.0 loc64
6.0 15.0 loc65
59.0 52.0 loc66
46.0 15.0 loc67
48.0 21.0 loc68
90.0 44.0 loc69
50.0 74.0 loc70
96.0 21.0 loc71
24.0 11.0 loc72
53.0 43.0 loc73
46.0 77.0 loc74
46.0 66.0 loc75
23.0 27.0 loc76
71.0 6.0 loc77
74.0 52.0 loc78
14.0 77.0 loc79
18.0 25.0 loc80
66.0 48.0 loc81
89.0 92.0 loc82
64.0 60.0 loc83
27.0 53.0 loc84
27.0 76.0 loc85
59.0 53.0 loc86
9.0 65.0 loc87
48.0 1.0 loc88
59.0 27.0 loc89
