/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
50
/*The Depot*/
0.263351589829511 0.06539901241056822 depot
/*The Locations (x_coor y_coor name)*/
60.0 84.0 loc1
12.0 95.0 loc2
63.0 28.0 loc3
91.0 55.0 loc4
95.0 0.0 loc5
28.0 73.0 loc6
49.0 87.0 loc7
4.0 38.0 loc8
45.0 29.0 loc9
25.0 34.0 loc10
20.0 29.0 loc11
57.0 66.0 loc12
61.0 70.0 loc13
53.0 76.0 loc14
86.0 45.0 loc15
96.0 65.0 loc16
8.0 78.0 loc17
55.0 21.0 loc18
69.0 64.0 loc19
83.0 54.0 loc20
8.0 25.0 loc21
54.0 50.0 loc22
6.0 61.0 loc23
14.0 53.0 loc24
98.0 91.0 loc25
0.0 9.0 loc26
56.0 10.0 loc27
31.0 8.0 loc28
27.0 59.0 loc29
76.0 96.0 loc30
75.0 5.0 loc31
40.0 42.0 loc32
29.0 59.0 loc33
3.0 68.0 loc34
33.0 3.0 loc35
13.0 41.0 loc36
56.0 19.0 loc37
10.0 95.0 loc38
16.0 70.0 loc39
49.0 38.0 loc40
77.0 65.0 loc41
72.0 100.0 loc42
37.0 39.0 loc43
44.0 35.0 loc44
81.0 84.0 loc45
5.0 67.0 loc46
69.0 3.0 loc47
21.0 5.0 loc48
63.0 84.0 loc49
