/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
60
/*The Depot*/
0.766870871584363 0.341938452446904 depot
/*The Locations (x_coor y_coor name)*/
44.0 82.0 loc1
43.0 16.0 loc2
12.0 81.0 loc3
60.0 25.0 loc4
90.0 29.0 loc5
71.0 58.0 loc6
24.0 46.0 loc7
86.0 24.0 loc8
23.0 20.0 loc9
15.0 5.0 loc10
7.0 11.0 loc11
73.0 66.0 loc12
66.0 98.0 loc13
46.0 85.0 loc14
8.0 69.0 loc15
88.0 36.0 loc16
53.0 51.0 loc17
45.0 53.0 loc18
45.0 6.0 loc19
8.0 60.0 loc20
98.0 73.0 loc21
43.0 13.0 loc22
74.0 13.0 loc23
52.0 50.0 loc24
5.0 31.0 loc25
1.0 68.0 loc26
67.0 44.0 loc27
91.0 74.0 loc28
20.0 41.0 loc29
87.0 79.0 loc30
67.0 79.0 loc31
69.0 77.0 loc32
13.0 62.0 loc33
32.0 68.0 loc34
50.0 95.0 loc35
15.0 81.0 loc36
77.0 94.0 loc37
45.0 63.0 loc38
45.0 93.0 loc39
60.0 43.0 loc40
62.0 46.0 loc41
77.0 80.0 loc42
15.0 37.0 loc43
99.0 28.0 loc44
50.0 61.0 loc45
54.0 11.0 loc46
8.0 67.0 loc47
99.0 59.0 loc48
57.0 67.0 loc49
83.0 39.0 loc50
9.0 67.0 loc51
93.0 37.0 loc52
71.0 3.0 loc53
28.0 47.0 loc54
67.0 86.0 loc55
37.0 42.0 loc56
39.0 65.0 loc57
15.0 70.0 loc58
18.0 47.0 loc59
