/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
50
/*The Depot*/
0.40901280116782157 0.652195123742696 depot
/*The Locations (x_coor y_coor name)*/
35.0 9.0 loc1
75.0 75.0 loc2
2.0 41.0 loc3
100.0 54.0 loc4
22.0 75.0 loc5
6.0 81.0 loc6
41.0 41.0 loc7
38.0 22.0 loc8
28.0 20.0 loc9
23.0 84.0 loc10
37.0 64.0 loc11
94.0 53.0 loc12
12.0 74.0 loc13
11.0 16.0 loc14
51.0 39.0 loc15
54.0 16.0 loc16
17.0 90.0 loc17
80.0 4.0 loc18
46.0 73.0 loc19
38.0 9.0 loc20
95.0 5.0 loc21
46.0 77.0 loc22
43.0 95.0 loc23
97.0 66.0 loc24
36.0 28.0 loc25
87.0 83.0 loc26
32.0 49.0 loc27
14.0 74.0 loc28
95.0 59.0 loc29
2.0 5.0 loc30
62.0 39.0 loc31
74.0 7.0 loc32
83.0 72.0 loc33
59.0 75.0 loc34
73.0 35.0 loc35
14.0 81.0 loc36
9.0 29.0 loc37
95.0 42.0 loc38
64.0 83.0 loc39
77.0 2.0 loc40
2.0 97.0 loc41
42.0 61.0 loc42
69.0 57.0 loc43
40.0 54.0 loc44
39.0 45.0 loc45
48.0 99.0 loc46
56.0 21.0 loc47
67.0 47.0 loc48
57.0 70.0 loc49
