/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
90
/*The Depot*/
0.06310377323921146 0.2354426227122436 depot
/*The Locations (x_coor y_coor name)*/
21.0 20.0 loc1
45.0 83.0 loc2
81.0 76.0 loc3
83.0 58.0 loc4
49.0 82.0 loc5
18.0 22.0 loc6
56.0 10.0 loc7
39.0 91.0 loc8
31.0 78.0 loc9
24.0 43.0 loc10
11.0 46.0 loc11
57.0 76.0 loc12
4.0 42.0 loc13
77.0 93.0 loc14
63.0 20.0 loc15
71.0 37.0 loc16
61.0 61.0 loc17
53.0 44.0 loc18
33.0 11.0 loc19
66.0 67.0 loc20
11.0 54.0 loc21
42.0 27.0 loc22
33.0 41.0 loc23
71.0 19.0 loc24
59.0 60.0 loc25
56.0 15.0 loc26
65.0 43.0 loc27
34.0 25.0 loc28
95.0 20.0 loc29
11.0 35.0 loc30
88.0 34.0 loc31
38.0 37.0 loc32
54.0 32.0 loc33
2.0 7.0 loc34
93.0 55.0 loc35
4.0 55.0 loc36
36.0 79.0 loc37
56.0 22.0 loc38
5.0 11.0 loc39
72.0 64.0 loc40
16.0 57.0 loc41
90.0 73.0 loc42
85.0 69.0 loc43
90.0 11.0 loc44
69.0 90.0 loc45
23.0 95.0 loc46
4.0 34.0 loc47
36.0 44.0 loc48
81.0 24.0 loc49
97.0 21.0 loc50
42.0 10.0 loc51
29.0 94.0 loc52
100.0 37.0 loc53
22.0 44.0 loc54
19.0 41.0 loc55
25.0 77.0 loc56
32.0 45.0 loc57
25.0 27.0 loc58
57.0 26.0 loc59
17.0 76.0 loc60
42.0 46.0 loc61
26.0 1.0 loc62
1.0 49.0 loc63
75.0 40.0 loc64
9.0 71.0 loc65
25.0 43.0 loc66
10.0 15.0 loc67
99.0 60.0 loc68
37.0 66.0 loc69
94.0 85.0 loc70
99.0 75.0 loc71
53.0 53.0 loc72
33.0 66.0 loc73
28.0 47.0 loc74
20.0 71.0 loc75
16.0 83.0 loc76
43.0 2.0 loc77
0.0 16.0 loc78
70.0 79.0 loc79
99.0 41.0 loc80
9.0 81.0 loc81
65.0 49.0 loc82
92.0 32.0 loc83
64.0 4.0 loc84
3.0 46.0 loc85
7.0 83.0 loc86
23.0 78.0 loc87
18.0 71.0 loc88
79.0 70.0 loc89
