/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
70
/*The Depot*/
0.5982601679411916 0.8334892760423772 depot
/*The Locations (x_coor y_coor name)*/
57.0 62.0 loc1
42.0 20.0 loc2
32.0 71.0 loc3
38.0 99.0 loc4
99.0 26.0 loc5
68.0 13.0 loc6
57.0 70.0 loc7
93.0 78.0 loc8
99.0 83.0 loc9
75.0 20.0 loc10
28.0 84.0 loc11
99.0 82.0 loc12
36.0 53.0 loc13
66.0 78.0 loc14
47.0 56.0 loc15
87.0 97.0 loc16
83.0 14.0 loc17
55.0 90.0 loc18
20.0 37.0 loc19
4.0 56.0 loc20
17.0 45.0 loc21
35.0 35.0 loc22
82.0 74.0 loc23
58.0 37.0 loc24
89.0 71.0 loc25
60.0 70.0 loc26
15.0 0.0 loc27
68.0 41.0 loc28
53.0 82.0 loc29
4.0 13.0 loc30
43.0 12.0 loc31
14.0 46.0 loc32
27.0 8.0 loc33
57.0 33.0 loc34
60.0 15.0 loc35
8.0 1.0 loc36
8.0 78.0 loc37
54.0 93.0 loc38
24.0 46.0 loc39
83.0 66.0 loc40
84.0 80.0 loc41
61.0 7.0 loc42
76.0 54.0 loc43
87.0 37.0 loc44
13.0 29.0 loc45
82.0 94.0 loc46
58.0 56.0 loc47
62.0 46.0 loc48
36.0 25.0 loc49
3.0 34.0 loc50
84.0 33.0 loc51
22.0 5.0 loc52
1.0 7.0 loc53
45.0 23.0 loc54
32.0 82.0 loc55
53.0 68.0 loc56
58.0 94.0 loc57
28.0 82.0 loc58
65.0 12.0 loc59
18.0 59.0 loc60
64.0 26.0 loc61
11.0 18.0 loc62
82.0 87.0 loc63
46.0 77.0 loc64
17.0 69.0 loc65
50.0 24.0 loc66
68.0 37.0 loc67
2.0 24.0 loc68
46.0 82.0 loc69
