/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
60
/*The Depot*/
0.9790850811742958 0.07952089768799064 depot
/*The Locations (x_coor y_coor name)*/
8.0 83.0 loc1
82.0 76.0 loc2
43.0 29.0 loc3
65.0 59.0 loc4
100.0 23.0 loc5
39.0 87.0 loc6
32.0 65.0 loc7
38.0 41.0 loc8
1.0 58.0 loc9
31.0 21.0 loc10
20.0 4.0 loc11
33.0 38.0 loc12
98.0 82.0 loc13
73.0 42.0 loc14
29.0 29.0 loc15
75.0 19.0 loc16
15.0 48.0 loc17
48.0 2.0 loc18
61.0 94.0 loc19
43.0 47.0 loc20
95.0 24.0 loc21
47.0 43.0 loc22
54.0 96.0 loc23
13.0 13.0 loc24
93.0 5.0 loc25
30.0 17.0 loc26
51.0 51.0 loc27
13.0 38.0 loc28
39.0 80.0 loc29
34.0 97.0 loc30
85.0 83.0 loc31
61.0 100.0 loc32
57.0 84.0 loc33
79.0 50.0 loc34
85.0 26.0 loc35
72.0 74.0 loc36
19.0 75.0 loc37
93.0 17.0 loc38
50.0 5.0 loc39
30.0 76.0 loc40
78.0 90.0 loc41
22.0 62.0 loc42
36.0 27.0 loc43
64.0 21.0 loc44
39.0 88.0 loc45
100.0 5.0 loc46
76.0 41.0 loc47
40.0 23.0 loc48
29.0 22.0 loc49
24.0 33.0 loc50
22.0 96.0 loc51
1.0 91.0 loc52
87.0 13.0 loc53
63.0 85.0 loc54
94.0 47.0 loc55
80.0 51.0 loc56
97.0 28.0 loc57
13.0 49.0 loc58
87.0 90.0 loc59
