/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
50
/*The Depot*/
0.42694087599037334 0.9866774635638927 depot
/*The Locations (x_coor y_coor name)*/
60.0 5.0 loc1
1.0 34.0 loc2
51.0 62.0 loc3
13.0 44.0 loc4
22.0 55.0 loc5
46.0 46.0 loc6
75.0 5.0 loc7
9.0 8.0 loc8
18.0 31.0 loc9
96.0 75.0 loc10
91.0 58.0 loc11
74.0 35.0 loc12
36.0 83.0 loc13
33.0 33.0 loc14
92.0 7.0 loc15
49.0 56.0 loc16
39.0 74.0 loc17
9.0 80.0 loc18
90.0 15.0 loc19
4.0 43.0 loc20
27.0 62.0 loc21
15.0 82.0 loc22
27.0 92.0 loc23
79.0 90.0 loc24
83.0 74.0 loc25
23.0 9.0 loc26
23.0 86.0 loc27
93.0 55.0 loc28
5.0 76.0 loc29
43.0 19.0 loc30
89.0 22.0 loc31
43.0 26.0 loc32
93.0 77.0 loc33
89.0 50.0 loc34
17.0 73.0 loc35
75.0 42.0 loc36
32.0 26.0 loc37
99.0 63.0 loc38
84.0 86.0 loc39
20.0 50.0 loc40
13.0 55.0 loc41
71.0 75.0 loc42
63.0 52.0 loc43
93.0 79.0 loc44
54.0 5.0 loc45
54.0 93.0 loc46
25.0 93.0 loc47
89.0 36.0 loc48
90.0 43.0 loc49
